"ref";"marca";"modelo";"cambio";"motor";"ano";"valor"
2017-12-01;"Fiat";"UNO VIVACE/RUA 1.0 EVO Fire Flex 8V 5p";"automatico";1;"2016";27459
2017-12-01;"Fiat";"UNO WAY 1.0 EVO Fire Flex 8V 5p";"automatico";1;"2016";33197
2017-12-01;"Fiat";"UNO WAY 1.0 Flex 6V 5p";"automatico";1;"0 km";42458
2017-12-01;"Fiat";"UNO WAY 1.0 Flex 6V 5p";"automatico";1;"2018";38980
2017-12-01;"Fiat";"UNO WAY 1.0 Flex 6V 5p";"automatico";1;"2017";37433
2017-12-01;"Fiat";"UNO WAY 1.3 Flex 8V 5p";"automatico";1,3;"0 km";48623
2017-12-01;"Fiat";"UNO WAY 1.3 Flex 8V 5p";"automatico";1,3;"2018";44409
2017-12-01;"Fiat";"UNO WAY 1.3 Flex 8V 5p";"automatico";1,3;"2017";41277
2017-12-01;"Fiat";"UNO WAY 1.4 EVO Dualogic Flex 8V 5p";"automatico";1,4;"2016";39975
2017-12-01;"Fiat";"UNO WAY 1.4 EVO Fire Flex 8V 5p";"automatico";1,4;"2016";35018
2017-12-01;"Fiat";"UNO WAY Dual./GSR 1.3 Flex 8V 5p";"automatico";1,3;"0 km";53445
2017-12-01;"Fiat";"UNO WAY Dual./GSR 1.3 Flex 8V 5p";"automatico";1,3;"2018";47481
2017-12-01;"Fiat";"UNO WAY Dual./GSR 1.3 Flex 8V 5p";"automatico";1,3;"2017";46005
2017-12-01;"Fiat";"UNO WAY RIO 450 1.0 EVO Flex 8V 5p";"automatico";1;"2016";30194
2017-12-01;"Ford";"Ka 1.0 SEL TiVCT Flex 5p";"automatico";1;"0 km";48556
2017-12-01;"Ford";"Ka 1.0 SEL TiVCT Flex 5p";"automatico";1;"2018";43464
2017-12-01;"Ford";"Ka 1.0 SEL TiVCT Flex 5p";"automatico";1;"2017";40995
2017-12-01;"Ford";"Ka 1.0 SEL TiVCT Flex 5p";"automatico";1;"2016";37110
2017-12-01;"Ford";"Ka 1.0 TECNO 12V Flex 5p";"automatico";1;"0 km";46475
2017-12-01;"Ford";"Ka 1.0 TECNO 12V Flex 5p";"automatico";1;"2018";40982
2017-12-01;"Ford";"Ka 1.0 TiVCT Flex 5p";"automatico";1;"0 km";42695
