model;make;year;date;price
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-06-01;59213
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-07-01;59831
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-08-01;58532
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-09-01;59050
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-10-01;59634
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-11-01;59270
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-12-01;60110
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2019-01-01;59078
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2019-02-01;59580
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2019-03-01;60029
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2019-04-01;60786
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2019-05-01;60015
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2019-06-01;58033
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2019-07-01;57369
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2019-08-01;57773
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2018-09-01;53881
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2018-10-01;53965
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2018-11-01;53496
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2018-12-01;52889
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2019-01-01;52312
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2019-02-01;52013
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2019-03-01;51716
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2019-04-01;51421
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2019-05-01;51133
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2019-06-01;50846
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2019-07-01;50395
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2019;2019-08-01;50117
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2017-07-01;53821
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2017-08-01;53560
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2017-09-01;53387
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2017-10-01;53249
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2017-11-01;53037
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2017-12-01;53776
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-01-01;54032
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-02-01;54235
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-03-01;54458
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-04-01;54603
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-05-01;54867
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-06-01;54845
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-07-01;55569
ARGO DRIVE GSR 1.3 8V Flex;Fiat;2018;2018-08-01;53695
